"year";"sum_exports";"sum_imports";"trade_balance"
2002;233744.54;139139.19;43476.82
2003;248762.76;145426.92;52133.34
2004;289955.11;160564.9;101650.05
2005;327268.91;177589.01;97276.74
2006;350306.16;192095.76;133585.8
2007;376188.52;205516.34;138182.64
2008;409873.03;213179.63;166173.4
2009;281510.63;163583.8;91326.05
2010;347601.43;197446.74;108808.21
2011;406745.23;223860.01;134280.97
2012;409692.1;234005.65;130675.91
2013;413770.5;240609.96;130469.34
2014;431960.12;249859.24;142867.22
2015;367970.02;223139.63;111815.34
2016;347631.67;209990.08;102602.26
2017;376750.88;222448.91;114140.49
2018;403148.2;235083.49;127241.04
2019;398735.03;230048.93;126901.5
2020;345835.38;197932.22;102373.23
2021;450938.46;239209.83;146484.46
2022;544042.73;281600.05;191012.43
2023;440258.19;153262.02;111880.55
2024;435013.89;149843.96;116194.21
